,fluxes
ACITL,0.0
ACONTm,0.426258912320567
ACONT,0.0
CSm,0.426258912320567
FUMm,0.44688990858365285
FUM,0.0016982280663668803
ICDHxm,0.426258912320567
AKGDm,0.44688990858365296
SUCOAS1m,0.0
ICDHym,0.0
MDHm,0.6642162263135183
MDH,0.2156280896634985
CITL,0.0
ICDHyr,0.0
SUCD1m,0.44688990858365285
SUCOASm,0.44688990858365296
TPI,0.7218856651767294
FBP,0.0
ACSm,0.0
ALDD2y,0.0
PYK,1.4540688682058005
ALDD2xm,0.0
ACS,0.0
PGMT,-0.0018692170071853878
ALCD2y,0.0
PFK,0.73432605004566
DPGM,0.0
ACYP,0.0
GAPD,1.4540688682058005
FBA,0.73432605004566
PGK,1.4540688682058005
LDH_L,0.7858542995364761
ETOHMO,0.0
ALDD2x,0.0
HEX1,0.7415199999999997
PGI,0.7386117440788379
PDHm,0.6682145686693244
ALCD2x,0.0
G3PD2m,0.0
PEPCKm,0.0
PEPCK_re,0.0
ENO,1.4540688682058005
DPGase,0.0
PGM,1.4540688682058005
G6PDH2r,0.0
PRPPS,0.006428541049763927
TKT1,0.0
RBK,0.0
DRBK,0.0
GND,0.0
RPI,0.0
PGL,0.0
TALA,0.0
TKT2,0.0
RPE,0.0
ATPM,2.2771
ASPGLUm,0.23795731399295142
AKGMALtm,0.2156280896634985
ASPTAm,0.23795731399295142
GLUDym,0.0
ALATA_L,0.0
GALUi,0.0
UGLT,0.0
UDPG4E,0.0
O2tm,1.3262347622353579
PIt2m,6.632872039243156
Htm,-0.19845091757513833
ATPtm,6.631173811176789
PYRt2m,0.6682145686693244
GLCt2,-0.13632411822032597
GLCt1,0.8778441182203257
L_LACt2r,-0.7858542995364761
PIt,0.0
O2t,1.3262347622353579
NH4t3r,0.03857469731905262
NH4tm,-0.03495783186270742
2AOBUTtm,0.0
H2Ot,-2.007047073455392
PYRt2,0.0
OXP_nadh,2.205579615887063
OXP_fadh2,0.44688990858365285
ARGNm,0.0016982280663669913
UREAtm,-0.0016982280663669913
OCBTm,0.0
CBPSam,0.0
CITRtm,0.0
ORNt4m,0.0
ARGSS,0.0
ARGSL,0.0
ORNTArm,0.0016982280663669913
GLU5SAtmc,0.0016982280663669913
G5SADs,0.0016982280663669913
P5CRx,0.0016982280663669913
P5CR,0.0
GHMT2r,0.000358682450956015
GLUPRT,0.0
PRAGSr,0.0
GARFT,0.0
PRFGS,0.0
PRAIS,0.0
AIRCr,0.0
PRASCSi,0.0
ADSL2r,0.0
AICART,0.0
IMPC,0.0
ADSS,0.0016982280663668803
ADSL1r,0.0016982280663668803
ADK1,0.08626069527135934
IMPD,0.0015539498936073346
GMPS2,0.0015539498936073346
GK1,0.0015539498936073346
CBPS,0.0031763630897897114
ASPCT,0.0031763630897897114
DHORTS,0.0031763630897897114
ORPT,0.0031763630897897114
OMPDC,0.0031763630897897114
UMPK,0.0025410302338843022
UMPK2,0.0006353328559054093
NDPK2,0.0031763630897897114
NDPK1,0.002975298275837792
NDPK3,0.0
NDPK4,0.000358682450956015
NDPK5,0.00027687968413642243
NDPK6,0.0
NDPK7,0.0002766504049493943
NDPK8,0.0003581965116967464
TRDR,0.0012704090517385782
CTPS1,0.0
CTPS2,0.001893123549593494
RNDR1,0.0003581965116967464
RNDR2,0.00027687968413642243
RNDR3,0.0006353328559054093
RNDR4,0.0
DCMPDA,0.000358682450956015
TMDS,0.000358682450956015
DHFR,0.000358682450956015
DTMPK,0.000358682450956015
NADK,0.0
NNDPR,0.0
DNADDP,0.0
NADS2,0.0
HXPRT,0.0032521779599742153
